12,13,20,8,y_signal_changes,rv_signal_changes,18,x_max,rv_std,29,25,x_min,28,14,7,z_max,17,x_signal_changes,30,z_signal_changes,16,19,11,37,10,39,y_min,y_rms,4,5,1,38
5,10,11,25,29,0,24,1.5961827215758917,0.8592765168921898,7,52,-2.8766858166241085,2,16,57,3.34089894245225,31,28,22,30,54,12,4,5,1,2,-2.78311792123803,0.3067898554524486,16,30,3,7
4,8,3,33,30,0,35,1.5803552778758918,0.8566396390191909,7,50,-2.8766858166241085,8,17,52,3.4565990155522504,38,30,16,33,46,15,4,4,1,3,-2.78311792123803,0.2982698738345908,12,30,1,8
9,12,6,33,27,0,15,1.6922682910758915,0.8945768821046322,8,51,-3.284215314324108,9,34,58,3.7061745778522495,36,29,23,32,38,3,4,7,3,1,-2.66104479863803,0.3464586169645081,15,26,7,4
8,11,8,23,25,0,17,1.6922682910758915,0.9348629839568492,6,45,-3.284215314324108,9,28,71,3.7393934420522505,38,29,24,25,33,8,7,8,5,2,-2.66104479863803,0.4173101998306184,19,21,5,4
7,10,5,49,25,0,17,1.3796736388758917,0.8748030563982375,5,51,-3.0511902369241084,6,22,59,3.7393934420522505,31,26,15,25,33,21,6,9,4,3,-2.41193634533803,0.3620675022673801,14,25,1,4
6,8,4,40,32,0,22,1.4893588885758915,0.8838860625696663,6,62,-3.250953509224108,6,17,53,3.5372806826522503,27,25,16,25,55,20,7,8,4,3,-2.63317500843803,0.381880928588627,12,30,6,6
4,12,4,40,35,0,19,1.5697264304758918,0.9131560365754384,5,60,-3.250953509224108,6,15,50,3.6733445195522494,30,24,18,26,50,18,6,8,4,7,-2.63317500843803,0.3736348963814697,20,22,5,3
9,14,2,10,30,0,17,2.120068009175892,0.8460479484615189,4,57,-2.771369869324108,6,29,34,3.6733445195522494,24,27,26,28,22,18,6,6,7,4,-2.12967986433803,0.3504588683921576,28,37,4,3
7,16,6,9,26,0,25,2.120068009175892,0.8087073766272149,5,59,-2.728757950224108,6,31,25,3.4781256269522505,18,30,22,30,38,15,7,4,8,7,-2.12967986433803,0.3495985832610563,37,46,3,5
7,12,5,7,24,0,20,2.281573504275892,0.8594559136233855,6,62,-2.9422399152241083,9,25,34,3.33141312345225,27,31,25,30,47,17,7,6,6,5,-2.16532957153803,0.3102582948188352,36,46,5,5
11,26,3,11,25,0,4,2.281573504275892,0.8127827111255945,6,56,-2.9422399152241083,12,45,33,3.3294513782522506,14,30,19,31,29,3,12,4,5,5,-2.24018501473803,0.3509987373272573,25,50,5,4
8,32,6,18,26,0,8,1.870424102375892,0.7874763396758515,5,40,-2.7101957717241083,4,60,42,3.4437392740522506,16,32,7,33,29,3,10,8,6,3,-2.27603859033803,0.3826175119906027,18,35,4,7
7,14,5,43,28,0,11,1.5511593864758917,0.8838883518858559,3,48,-3.127106165424108,3,43,60,4.08611594285225,29,29,16,31,24,6,5,6,8,1,-2.27603859033803,0.3319097501605998,13,24,4,4
9,7,2,11,30,0,14,1.880910699975892,0.8711099916403388,2,46,-3.127106165424108,6,25,62,4.08611594285225,29,27,29,26,46,3,6,4,11,1,-2.20268364383803,0.3250101246597427,17,37,3,3
11,9,2,6,28,0,13,1.880910699975892,0.8965793159974449,5,45,-2.854688655524108,10,27,49,3.7187801059522494,24,31,16,27,47,4,8,9,5,2,-2.52455708843803,0.3763269189367538,28,44,4,2
6,12,3,16,27,0,14,1.7894183018758918,0.9221552782116654,4,45,-2.728992547724108,13,36,43,3.7187801059522494,24,31,15,28,32,7,8,12,4,4,-2.52455708843803,0.377043151163333,23,40,3,3
7,7,1,13,22,0,25,1.876227918875892,0.8258694012146715,5,49,-2.5465581300241085,12,20,37,3.56961372015225,34,30,9,23,35,8,4,8,2,2,-2.91329615253803,0.3741378046359705,26,32,3,5
6,8,5,13,22,0,21,1.876227918875892,0.786970313408202,5,51,-2.800433364224108,11,18,48,3.3597988975522504,41,29,2,24,30,11,4,13,2,5,-2.91329615253803,0.382415773533045,27,29,5,6
8,9,5,16,27,0,15,1.7209017268758915,0.8396310307198018,6,54,-2.800433364224108,8,29,55,3.3597988975522504,36,29,15,32,24,10,4,7,6,6,-2.4025332004380298,0.3369482937716823,27,24,2,6
5,12,1,18,27,0,17,1.833865965675892,0.9107570724073084,5,55,-2.7230754292241084,6,20,45,4.009339518052251,39,28,33,34,26,11,6,5,8,1,-2.25360408553803,0.3171717056963237,27,34,3,1
6,21,1,15,23,0,15,1.894993282675892,0.8994410881411633,5,54,-2.7252985807241084,6,22,42,4.009339518052251,32,31,15,33,37,6,6,4,7,1,-2.26105106523803,0.3278694997481589,31,34,2,1
8,19,6,9,21,0,11,1.972522650875892,0.8236944364985358,3,57,-2.7252985807241084,5,30,34,3.7818039093522495,28,33,13,34,35,7,7,5,4,4,-2.26105106523803,0.2999458936058796,26,37,2,5
11,8,6,15,24,0,15,1.972522650875892,0.825755044608642,3,70,-2.6857243113241083,5,16,28,3.7818039093522495,44,28,19,34,43,14,5,5,2,5,-2.39558104823803,0.2958399271826744,27,34,5,5
11,10,4,17,23,0,16,1.936799692075892,0.7832751814103036,7,63,-2.6857243113241083,7,22,36,3.1281905661522504,36,27,18,33,40,11,8,4,4,5,-2.39558104823803,0.3574710965290264,23,26,3,5
8,14,3,14,22,0,12,1.936799692075892,0.7416154838966071,3,55,-2.5785497976241083,5,27,39,3.3388264473522504,33,26,19,29,23,11,8,7,5,3,-2.28628968293803,0.3335920235783884,28,20,3,2
4,8,3,12,24,0,26,1.890086480175892,0.6746818134134804,1,47,-2.6915309972241084,3,19,33,3.3388264473522504,38,26,32,27,52,11,3,5,4,1,-2.4354556820380298,0.2508085618445038,32,37,3,0
4,15,5,3,27,0,14,2.9623460870758915,0.6901280761543741,7,50,-3.1427558306241083,10,19,10,2.3209787950522505,37,29,27,36,70,1,0,2,3,3,-2.4354556820380298,0.2003807661095145,49,81,5,0
16,48,5,3,29,0,5,2.9623460870758915,0.7282337268911391,3,50,-3.1427558306241083,8,64,14,2.7584351805522505,4,30,22,38,16,2,6,4,4,3,-1.8938702456380296,0.2187499273495183,36,70,7,3
12,61,1,19,27,0,6,1.994059135875892,0.7349095273967979,2,65,-2.791768279224108,2,49,28,3.9087127269522495,7,35,19,31,16,2,9,3,3,3,-1.8938702456380296,0.2502144768889247,23,51,6,2
13,14,2,18,24,0,12,1.5676274502758918,0.7725256704764074,2,59,-2.156981385324108,4,44,33,3.9087127269522495,23,36,13,33,34,10,6,5,4,3,-2.19703842203803,0.3141849365233445,29,42,7,4
6,16,3,3,27,0,14,2.080331869375892,0.7448625154270786,8,64,-2.2777931403241083,4,33,21,2.8888494043522503,24,30,18,36,40,6,8,3,7,6,-2.19703842203803,0.3175997748604187,33,53,6,3
