9,16,21,22,x_tm_peaks,mean_res_accel,15,10,25,23,x_abs_diff,3,17,13,2,z_tm_peaks,24,6,26,y_abs_diff,z_std
13,40,12,18,4125.0,3.6290803841691353,43,2,28,34,8.881784197001253e-17,8,32,20,5,1200.0,85,43,16,8.881784197001253e-17,2.812238417561674
16,23,15,14,25.0,4.248605455413335,25,5,30,27,6.550315845288423e-17,12,16,28,6,3675.0,80,46,17,6.550315845288423e-17,3.2784862278748585
25,28,21,11,25.0,4.561014721162582,34,2,65,10,9.103828801926283e-17,13,16,23,3,2300.0,34,42,23,9.103828801926283e-17,3.236145086351661
26,26,16,13,1175.0,4.728030128849248,41,2,60,15,1.5543122344752193e-17,18,15,21,9,2300.0,49,32,23,1.5543122344752193e-17,3.531743238188983
19,25,12,16,1175.0,4.5168300275492665,25,3,59,13,7.105427357601002e-17,23,16,37,9,1125.0,50,38,25,7.105427357601002e-17,3.4923367048334573
9,31,10,19,1250.0,4.297179015635688,47,2,49,14,8.65973959207622e-17,16,28,10,14,2375.0,54,30,25,8.65973959207622e-17,2.963751211864828
11,38,17,17,1250.0,4.385258130544516,48,2,37,42,1.654232306691483e-16,23,31,7,12,4775.0,54,27,13,1.654232306691483e-16,3.108830631256869
6,32,17,15,1200.0,4.2359678853509966,56,6,30,39,1.176836406102666e-16,21,29,14,18,1225.0,66,29,6,1.176836406102666e-16,3.157928334429718
3,26,10,17,25.0,3.636893944273181,50,7,35,23,2.220446049250313e-18,10,23,19,17,3825.0,84,30,12,2.220446049250313e-18,2.613051363885854
1,31,10,9,25.0,2.8222131253110354,43,6,67,18,5.2180482157382354e-17,18,12,21,9,25.0,48,28,25,5.2180482157382354e-17,1.8053502155527104
